id;text;link;comp;loc;desc;pub
p_1c2a0125724c4536;PRODUCT ENGINEER;/rc/clk?jk=1c2a0125724c4536&fccid=b06e575a32d6f81c&vjs=3;Timetec Computing Sdn Bhd;Puchong;Bachelor degree holder in either Software Engineering or IT. Collaborate with RandD team in creating prototypes of hardware or/and software and constantly...;Just posted
p_62bf4a3e0404c83d;Production Supervisor;/rc/clk?jk=62bf4a3e0404c83d&fccid=308accf11a5a199b&vjs=3;Samtec, Inc;Johor Bahru;Must be able to use Microsoft Software (Outlook, Excel, Word, Access). Team player and must be able to work with multiple groups of people – Operators, Floor...;Just posted
p_a4a1d9597ec9619a;Order Support Staff (Production Planner);/rc/clk?jk=a4a1d9597ec9619a&fccid=308accf11a5a199b&vjs=3;Samtec, Inc;Johor Bahru;Must be able to use Microsoft Software (Outlook, Excel, Word, Access). Team player and must be able to work with multiple groups of people – Operators, Floor...;Just posted
p_4cb28a0213611aff;Senior Product Manager;/rc/clk?jk=4cb28a0213611aff&fccid=38c854dd93fc17dd&vjs=3;StoreHub;Petaling Jaya;Proficiency using tools to manage the software development lifecycle(e.g. Manage daily workflow with a team of engineers and designers....;Just posted
p_2723336d3e00fd6d;Junior Software Engineer;/rc/clk?jk=2723336d3e00fd6d&fccid=940f35bad71960fc&vjs=3;Murata Electronics (Malaysia) Sdn. Bhd.;Ipoh;Perform Software Development Life cycle. Assist the System Engineers to develop software application / system such as design, development, testing and...;Today
p_e7a00f4b1ebe7db6;Software Support Engineer (Groovy/Java);/rc/clk?jk=e7a00f4b1ebe7db6&fccid=0d4717d999ae3acb&vjs=3;Adaptavist;Kuala Lumpur;We're looking for someone to undertake the role of technical support engineer for Adaptavist's product team. Who are we looking for?...;Today
p_702c6d4e2baedc4e;Head of Design;/rc/clk?jk=702c6d4e2baedc4e&fccid=fc36de42174b213e&vjs=3;UMAI;Kuala Lumpur;UMAI is a software provider that helps restaurants to save time and increase revenues by automating manual tasks, minimize last-minute cancellations, upsell...;Today
p_b6f9f8b144c4aae1;Head of Data Science;/rc/clk?jk=b6f9f8b144c4aae1&fccid=befda219a593caaa&vjs=3;Ambition Group Singapore Pte Ltd;Kuala Lumpur;Hands-on experience of the modern data science and analytics toolbox from software tools over scalable data pipelines and NoSQL databases to quantitative...;Today
p_c3f0d1b561b47a78;Project Engineer;/rc/clk?jk=c3f0d1b561b47a78&fccid=537f15d77763f4b4&vjs=3;Vector InfoTech;Kuala Lumpur;Sales Engineer (Kuala Lumpur, Malaysia). Support, maintain, and document software functionality. IT Support Engineer / Programmer (Kuala Lumpur & Sibu, Malaysia...;Today
p_c023294c6849e0dc;Purchaser;/rc/clk?jk=c023294c6849e0dc&fccid=537f15d77763f4b4&vjs=3;Vector InfoTech;Kuala Lumpur;Sales Engineer (Kuala Lumpur, Malaysia). Support, maintain, and document software functionality. IT Support Engineer / Programmer (Kuala Lumpur & Sibu, Malaysia...;Today
p_8d1589e7e9cdc0ae;Senior Software Engineer (Java);/rc/clk?jk=8d1589e7e9cdc0ae&fccid=f01c2f55ec3054bf&vjs=3;Robert Walters;Kuala Lumpur;About the Senior Software Engineer (Java) Role:. A great career progression opportunity awaits the right person for this Senior Software Engineer (Java) role....;Today
p_d9fead6903b050c2;Artificial Intelligence Software Engineer;/rc/clk?jk=d9fead6903b050c2&fccid=f1ce5d00ca5cccb2&vjs=3;Invinity Group;Kuala Lumpur;Proficiency in analytical software will be advantageous. This position will solely focus on Artificial Intelligence (AI) and Internet of Things (IoT) for...;Today
p_bc63beafa5e5b4fe;Engineer;/rc/clk?jk=bc63beafa5e5b4fe&fccid=4df7ea37eace1323&vjs=3;Sapura Energy Berhad;Malaysia;Familiar with relevant software with the ability to read 3D engineering drawings, well-versed in relevant International Codes and Standard....;Today
p_e0b73340053fb157;Japanese Bridge Software Engineer;/company/Selpeo-Inc/jobs/Japanese-Bridge-Software-Engineer-e0b73340053fb157?fccid=44173ea693892ece&vjs=3;Selpeo Recruitment;Kuala Lumpur;Japanese Bridge Software Engineer. Software quality management, code review. Programming and designing of software applications....;Today
p_f9f069f1a25f32af;Japanese - Software Engineer (ポジション: ソフトウェアエンジニア(日本人));/company/Selpeo/jobs/Japanese-f9f069f1a25f32af?fccid=33994e32faa9d701&vjs=3;Selpeo;Kuala Lumpur;Software quality management, code review. Diagnosing issues, perform bug fixes or software configuration related issues....;Today
