id;text;link;comp;loc;desc;pub
p_fd30c21b2ee2c60f;Business Development Manager;/company/Widad-University-College/jobs/Business-Development-Manager-fd30c21b2ee2c60f?fccid=afa8af8ac91c3b8a&vjs=3;WIDAD UNIVERSITY COLLEGE;Kuantan;* *Work with the COO, staff, Board of Governing to facilitate short and long-term strategic plans.  *Identify and address development issues that affect the...;Just posted
p_98fb51306d844c01;SENIOR MANAGER, MARKETING;/company/Widad-University-College/jobs/Senior-Manager-98fb51306d844c01?fccid=afa8af8ac91c3b8a&vjs=3;WIDAD UNIVERSITY COLLEGE;Kuantan;Developing promotions and advertising with marketing managers.. Overseeing marketing department.....;Just posted
p_a19059beb7c26f3b;Accounts Assistant Manager;/company/Pintaras-Geotechnics-Sdn-Bhd/jobs/Account-Assistant-Manager-a19059beb7c26f3b?fccid=0c02d920b9b992b5&vjs=3;Pintaras Geotechnics Sdn Bhd;Shah Alam;To assist the Senior Manager (Finance & Admin.). To implement Group financial policies and procedures as directed by the Senior Manager (Finance & Admin.)....;Just posted
p_95ec1b6b3d0971f5;Assistant Unit Manager (Assistant Restaurant Manager);/company/glory-hr-solutions/jobs/Assistant-Unit-Manager-95ec1b6b3d0971f5?fccid=e4f9a4d390300bb7&vjs=3;Glory HR Solutions;Kuala Lumpur;Assist the Unit Manager with the daily operation at site. Assist the Unit Manager in staff management, including motivation, development, performance management...;Just posted
p_4efe80f3a5147b3c;Senior Manager, Human Resources Business Partner;/rc/clk?jk=4efe80f3a5147b3c&fccid=21da9204c46c00ef&vjs=3;Tan Chong;Malaysia;"Job Responsibilities: Responsible for overall full spectrum Group HR- HRBP functions for the Group including overseeing HRBPs; to support at the business...";Just posted
p_10ec2784c856a6ec;MARKETING EXECUTIVE;/company/Widad-University-College/jobs/Marketing-Executive-10ec2784c856a6ec?fccid=afa8af8ac91c3b8a&vjs=3;WIDAD UNIVERSITY COLLEGE;Kuantan;Collaborating with the marketing managers, internal teams, clients and partners on marketing strategy.*. Helping identify marketing trends and key opportunities...;Just posted
p_e2b0d8e30dba0e70;Manager, Supplements, Books & Publication;/rc/clk?jk=e2b0d8e30dba0e70&fccid=9bf7f00b678cf081&vjs=3;Media Prima Berhad;Bangsar;-Accountable for the overall supplement, books business strategy and achievement (Didik, Minda, Skor, Varsiti, School Times, High Ed, Betsari and other future...;Just posted
p_47e77d10fd61f05c;Customer service executive (Bahasa Melayu, Cantonese, Mandar...;/company/Agoda/jobs/Customer-Service-Executive-47e77d10fd61f05c?fccid=460239a31e3c73bb&vjs=3;Agoda.com;Kuala Lumpur;Communicate to Team Leaders and (or) Manager. Good evening everyone!Agoda.comis looking to recruit Customer Support Specialist in different language, which...;Just posted
p_4cb28a0213611aff;Senior Product Manager;/rc/clk?jk=4cb28a0213611aff&fccid=38c854dd93fc17dd&vjs=3;StoreHub;Petaling Jaya;We need our product managers to be versatile and passionate to tackle new problems as we continue to push technology forward....;Just posted
p_588c9dbc3563b08f;HR / Talent Manager;/rc/clk?jk=588c9dbc3563b08f&fccid=afe6085cf7688fdd&vjs=3;The Lorry Online Sdn Bhd;Puchong;-Manage the entire Human Resources (“HR”) function in the forms of Recruitment and Selection, Compensation and Benefits, Performance and Workforce Management,...;Just posted
p_01fd027a8632443b;Social Media Manager (Client champion and media);/rc/clk?jk=01fd027a8632443b&fccid=a7a82043534ebbf8&vjs=3;MOB | Digital Marketing Malaysia;Subang Jaya;THE JOB (A) THE BASIC STUFF -Manage day to day content posting calendar for clients. You will work with designers to come up with attractive content and be...;Just posted
p_f5eafc5fc41b2806;Beautician for Aesthetic Medical Clinic;/company/Anna-Hoo-Clinic/jobs/Beautician-Aesthetic-Medical-Clinic-f5eafc5fc41b2806?fccid=5b5eb3e4b0e43594&vjs=3;ANNA HOO CLINIC;Petaling Jaya;Interested applicants should make contact with the HR Manager and provide detailed information on skills and experience for assessment....;Just posted
p_e8afefd699405f11;Content & Branding Strategist - Asst Manager;/rc/clk?jk=e8afefd699405f11&fccid=1c674d5c084d6383&vjs=3;EasyUni Sdn Bhd;Mid Valley City;Advise clients on digital change so they can keep relevant in social media, web and mobile environments. Help clients keep pace with their changing...;Just posted
p_fa4f6734f20b6674;Sales Account Manager (Easyuni Sales Ninja);/rc/clk?jk=fa4f6734f20b6674&fccid=1c674d5c084d6383&vjs=3;EasyUni Sdn Bhd;Mid Valley City;Someone who can think like a client and speak their language ( you will be liasing with Deans, Directors, Head of Marketing, Managers of colleges and...;Just posted
p_3e0062b345debed6;Purchasing Executive;/company/glory-hr-solutions/jobs/Purchasing-Executive-3e0062b345debed6?fccid=e4f9a4d390300bb7&vjs=3;Glory HR Solutions;Kuala Lumpur;Other relevant duties pertaining to the Purchasing department as requested by Operation Manager. To negotiate supply arrangements with suppliers at the best...;Just posted
p_0be86977e27128cb;Relationship Manager (Invoice & Contract Finang );/rc/clk?jk=0be86977e27128cb&fccid=94022c0dbf37826a&vjs=3;CapitalBay;Bandar Sunway;"- Actively and successfully managing the sales process; credentials pitch; asking questions; solution pitch; negotiation; close; handover for onboarding ...";Just posted
p_308f26859f7ec488;Project Coordinator;/rc/clk?jk=308f26859f7ec488&fccid=4ca919ed4185a631&vjs=3;Orbit Audio Design Sdn Bhd;Petaling Jaya;-Reporting to the project manager/management, the PIC has to be technically oriented (knowledgeable) on the project details, processes and most importantly:...;Just posted
p_62bf4a3e0404c83d;Production Supervisor;/rc/clk?jk=62bf4a3e0404c83d&fccid=308accf11a5a199b&vjs=3;Samtec, Inc;Johor Bahru;Job title: PRODUCTION SUPERVISOR Summary/Objective Responsible for management, supervision and development of production associates to achieve the...;Just posted
p_ebad6639a6bb7565;Training & Development Specialist;/rc/clk?jk=ebad6639a6bb7565&fccid=bf39803bcf825f10&vjs=3;International Bearings (KL) Sdn Bhd;Petaling Jaya;Identify training and development needs within organization through job analysis, appraisal schemes and regular consultation with business managers and human...;Just posted
p_e11212f885e4a07b;Temporary Admin Executives;/rc/clk?jk=e11212f885e4a07b&fccid=b51a5102a67e0022&vjs=3;Lazada Malaysia;Kuala Lumpur;Provide administrative support for Lazada managers. Act as project administrator across multiple areas....;Just posted
p_fe304bddc79f1d1b;Registered Nurses;/company/Anna-Hoo-Clinic/jobs/Registered-Nurse-fe304bddc79f1d1b?fccid=5b5eb3e4b0e43594&vjs=3;ANNA HOO CLINIC;Petaling Jaya;Please send a detailed resume with photo via Whatsapp to HR Manager on 012 55 34611. Our aesthetic medical clinic is looking for Malaysian registered nurses....;Just posted
